"approval_ym","naics_code_2","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2024-10-01","53","132","0","0","0.00","416090.15"
"2023-10-01","44","238","1","0.004201680672268907","998512.00","480860.50"
"2021-02-01","23","425","11","0.02588235294117647","1138951.99","471617.88"
"2021-04-01","44","443","5","0.011286681715575621","723189.70","785250.56"
"2022-01-01","11","46","0","0","0.00","380015.22"
"2023-01-01","48","268","7","0.026119402985074626","755308.24","226857.84"
"2024-04-01","11","57","0","0","0.00","652261.40"
"2024-11-01","61","105","0","0","0.00","236463.81"
"2025-06-01","52","56","0","0","0.00","516257.14"
"2022-07-01","54","376","13","0.034574468085106384","1354650.34","375573.14"
"2022-12-01","62","439","4","0.009111617312072893","541579.51","539747.15"
"2020-08-01","42","134","2","0.014925373134328358","1875889.28","865673.88"
"2024-11-01","72","683","0","0","0.00","574583.75"
"2024-01-01","21","2","0","0","0.00","2225000.00"
"2024-03-01","23","980","2","0.0020408163265306124","117046.05","297711.63"
"2024-09-01","55","3","0","0","0.00","1524833.33"
"2023-07-01","45","259","3","0.011583011583011582","88480.40","520368.73"
"2020-09-01","51","47","0","0","0.00","881665.96"
"2025-05-01","11","91","0","0","0.00","857003.30"
"2022-10-01","53","119","2","0.01680672268907563","417521.13","697795.80"
"2021-10-01","33","66","1","0.015151515151515152","50000.00","537293.94"
"2023-12-01","52","85","0","0","0.00","346996.47"
